node_id,osm_node_id,lng,lat
60,4207000214,-74.0151189,40.7064654
61,3574648567,-74.0151119,40.705734
62,42452994,-74.0150993,40.7064386
63,5815234915,-74.0150777,40.7097119
64,246899085,-74.0150706,40.7068274
65,370880731,-74.0150558,40.7052452
66,246858431,-74.0150379,40.7098348
67,4916899612,-74.0150265,40.7053189
68,246906186,-74.0150235,40.7069397
69,3914862593,-74.0150062,40.7047334
70,42431635,-74.0149622,40.7181135
71,588546798,-74.0149608,40.7048214
72,3574612293,-74.0149206,40.7072065
73,42452314,-74.0148642,40.7094458
74,42437396,-74.0147291,40.7098267
75,42438030,-74.0146924,40.707428
76,4149750390,-74.0146639,40.7074981
77,246858433,-74.0146457,40.7111302
78,246909446,-74.0146369,40.7061126
79,5209071190,-74.0145745,40.7064617
80,42446814,-74.0145636,40.717113
81,6417761624,-74.0145633,40.7104259
82,42429577,-74.0144853,40.7154353
83,5636437656,-74.0144459,40.7120255
84,42444353,-74.0144384,40.7031516
85,42444479,-74.0144036,40.7036143
86,42422028,-74.0143968,40.7110102
87,42446632,-74.0143778,40.7082321
88,42436202,-74.0143097,40.7062925
89,42446825,-74.0143011,40.7169942
90,588546891,-74.0142449,40.7045237
91,42424521,-74.0142358,40.706675
92,42428345,-74.014223,40.7045956
93,2034011052,-74.0141521,40.7026854
94,1805328753,-74.0141246,40.7012446
95,246866806,-74.0141012,40.7138585
96,42431630,-74.0140898,40.7177392
97,42452310,-74.0140487,40.7090879
98,1431790465,-74.0139828,40.7129155
99,607911351,-74.0139762,40.7014943
100,42436178,-74.0139687,40.7070863
101,4206998241,-74.0139544,40.7011325
102,4149936245,-74.0139447,40.7071446
103,373880031,-74.0139365,40.7137964
104,1805328787,-74.0139302,40.701443
105,1805328780,-74.0138889,40.701391
106,3772840882,-74.0138882,40.7095053
107,6552385850,-74.0138804,40.7128615
108,607911362,-74.0138454,40.7020924
109,42431629,-74.0138209,40.7176174
110,3594896439,-74.013814,40.7141549
111,6417764328,-74.0138055,40.7101267
112,3274291207,-74.0138015,40.702168
113,279151954,-74.0137888,40.7023934
114,4206997137,-74.0137399,40.7068238
115,42434401,-74.0136959,40.7099727
116,42453395,-74.0136838,40.7137015
117,6552385849,-74.0136081,40.7127487
118,42436181,-74.0135999,40.7079832
119,3594896445,-74.0135986,40.7150491
120,246858435,-74.0135493,40.715284
121,42456297,-74.0135459,40.7069158
122,4149936235,-74.0135064,40.7069636
123,42453398,-74.0134178,40.7144376
124,4207143416,-74.013414,40.7157999
125,246866830,-74.0133558,40.7165757
126,4207143415,-74.0133348,40.7147252
127,42428529,-74.0133173,40.705045
128,42428365,-74.0132769,40.7058713
129,42436184,-74.0132592,40.7087418
130,246858449,-74.0132223,40.7165276
131,42429570,-74.0132124,40.7152226
132,42428524,-74.013192,40.7040587
133,246866828,-74.013168,40.7173198
134,42444480,-74.013114,40.703588
135,42436187,-74.0130785,40.7091587
136,4215665527,-74.0130407,40.715966
137,246858448,-74.01304,40.7172634
138,42444355,-74.0130041,40.7031174
139,42436192,-74.012992,40.709354
140,42446622,-74.0129583,40.7077766
141,5487737822,-74.012934,40.7094844
142,42449613,-74.0129331,40.7164234
143,4207143417,-74.0128493,40.7179785
144,42434413,-74.012839,40.70971
145,42426747,-74.0128371,40.7024415
146,4143812552,-74.0127934,40.7163694
147,42431626,-74.0127568,40.7171351
148,42442088,-74.0126271,40.7050111
149,42444360,-74.01257,40.703207
150,4143838198,-74.012532,40.7151116
151,42444200,-74.0124663,40.7015183
152,42459493,-74.0123406,40.7139451
153,42453417,-74.0123246,40.7190475
154,246858445,-74.0122755,40.7203353
155,42433834,-74.0122117,40.7027132
156,4215665528,-74.0121906,40.7168785
157,1506902240,-74.0121348,40.7089925
158,2565683776,-74.012101,40.7190196
159,42456888,-74.0120828,40.7090696
160,4207143418,-74.0120426,40.7203104
161,370880739,-74.0120124,40.7016074
162,1431790464,-74.0119719,40.7120775
163,4149739462,-74.0119685,40.7015105
164,42428368,-74.0119439,40.7074505
165,42451402,-74.0119426,40.7014428
166,42434412,-74.011935,40.709306
167,246890098,-74.0118544,40.7223501
168,42436316,-74.0117703,40.7216343
169,246890279,-74.0117188,40.7229994
170,2565683769,-74.0116867,40.7189681
171,42422038,-74.011674,40.709687
172,42440918,-74.0116275,40.7223272
173,272194254,-74.011617,40.7136173
174,4207143422,-74.0116039,40.7235721
175,42431889,-74.0115825,40.7035187
176,42431877,-74.011576,40.7040261
177,42431875,-74.011569,40.704249
178,42431871,-74.0115571,40.704723
179,42431868,-74.0115503,40.7049909
180,42430009,-74.011527,40.714294
