edge_id,start_node_id,end_node_id,osm_start_node_id,osm_end_node_id,speed_mph_mean,speed_mph_stddev,dist_meter,time_sec_mean,time_sec_stddev
5841,3357,3191,4016646206,42442492,12.96,5.54,270.83,46.73,19.97
5842,3357,3344,4016646206,4215936663,24.40,5.66,48.54,4.45,1.03
5843,3358,3290,42442542,1061531504,7.91,6.13,129.95,36.74,28.46
5844,3358,3377,42442542,42433252,16.36,7.21,78.04,10.67,4.70
5845,3359,3189,42424851,42443349,10.26,5.24,274.18,59.78,30.54
5846,3359,3339,42424851,42421800,20.54,7.66,80.86,8.81,3.28
5847,3359,3372,42424851,3602653021,10.61,7.57,63.91,13.48,9.62
5848,3360,3379,42449961,42436707,11.65,8.56,80.07,15.37,11.29
5849,3360,3470,42449961,42442955,10.32,6.57,215.65,46.76,29.76
5850,3361,3381,1061531596,1061531631,23.54,7.37,79.22,7.53,2.36
5851,3361,3419,1061531596,42442552,9.05,3.57,129.34,31.98,12.62
5852,3362,3312,42447228,248709820,19.67,5.14,82.97,9.44,2.47
5853,3362,3342,42447228,42455662,15.38,9.38,79.01,11.49,7.01
5854,3363,3365,3569749103,248708582,16.36,11.65,12.25,1.67,1.19
5855,3364,3268,4205805392,4215936660,19.89,5.83,164.63,18.51,5.43
5856,3365,3350,248708582,42455929,17.02,7.08,26.46,3.48,1.45
5857,3365,3380,248708582,595105472,7.94,7.41,77.26,21.78,20.34
5858,3365,3411,248708582,42450809,21.09,6.08,104.51,11.09,3.20
5859,3366,3389,42448317,6177439750,14.53,9.59,78.65,12.11,7.99
5860,3366,3431,42448317,42447009,7.78,6.36,145.08,41.72,34.12
5861,3367,3346,42443614,4862610026,17.59,7.54,78.93,10.04,4.30
5862,3367,3439,42443614,42443615,8.14,5.47,150.00,41.20,27.65
5863,3368,3292,42429971,42429970,6.98,4.15,154.59,49.54,29.45
5864,3368,3391,42429971,42431650,18.11,7.29,79.72,9.85,3.97
5865,3369,3305,42428728,42431108,10.47,7.05,128.04,27.36,18.44
5866,3369,3349,42428728,42428725,20.40,7.31,80.01,8.77,3.15
5867,3370,3392,42432764,42441910,8.29,9.51,78.56,21.20,24.31
5868,3371,3351,42431116,42431113,18.53,9.30,80.48,9.72,4.88
5869,3371,3394,42431116,42431118,21.18,8.93,79.09,8.35,3.52
5870,3371,3427,42431116,42428746,11.28,6.45,114.71,22.74,12.99
5871,3372,3359,3602653021,42424851,15.03,8.90,63.91,9.51,5.63
5872,3373,3358,5669156315,42442542,7.36,6.20,38.87,11.81,9.95
5873,3374,3300,6177439752,42445953,6.88,5.41,146.22,47.51,37.34
5874,3374,3354,6177439752,596775946,11.08,8.64,78.60,15.87,12.38
5875,3375,3346,5266098185,4862610026,9.62,7.49,62.66,14.57,11.35
5876,3376,3355,42442949,42442948,13.88,7.07,81.52,13.14,6.69
5877,3376,3465,42442949,3830783520,17.74,8.52,166.48,20.99,10.08
5878,3377,3399,42433252,42442549,18.73,5.76,80.36,9.60,2.95
5879,3378,3357,42443363,4016646206,22.85,6.94,80.83,7.91,2.40
5880,3378,3526,42443363,42435317,9.07,2.93,273.38,67.45,21.82
5881,3379,3299,42436707,42436705,8.14,5.96,154.44,42.45,31.07
5882,3379,3400,42436707,42449963,10.84,9.05,79.97,16.50,13.78
5883,3380,3385,595105472,42455931,15.38,7.09,10.36,1.51,0.69
5884,3381,3369,1061531631,42428728,14.79,6.23,17.86,2.70,1.14
5885,3381,3401,1061531631,1061531802,15.20,12.04,79.20,11.66,9.23
5886,3382,3456,3734911590,370915065,29.96,16.05,231.41,17.28,9.26
5887,3383,3362,42437423,42447228,10.33,8.91,79.56,17.23,14.86
5888,3384,3283,42441283,42441299,17.84,9.13,329.15,41.28,21.13
5889,3384,3386,42441283,5004570651,12.14,6.20,4.93,0.91,0.46
5890,3385,3403,42455931,42453000,17.40,6.22,79.01,10.15,3.63
5891,3386,3392,5004570651,42441910,15.62,5.19,15.85,2.27,0.76
5892,3386,3441,5004570651,42452276,27.90,6.27,252.02,20.21,4.54
5893,3387,3330,42426851,42450814,24.73,10.82,160.73,14.54,6.36
5894,3388,3378,4215936664,42443363,21.68,8.34,27.42,2.83,1.09
5895,3389,3374,6177439750,6177439752,10.11,8.86,21.28,4.71,4.13
5896,3389,3406,6177439750,42436514,15.39,9.73,79.66,11.58,7.32
5897,3390,3319,42432847,42432834,7.34,6.52,146.84,44.75,39.73
5898,3390,3367,42432847,42443614,12.96,7.85,85.87,14.82,8.98
5899,3390,3426,42432847,5607992554,10.43,7.57,77.18,16.55,12.01
5900,3391,3408,42431650,42445972,18.39,6.90,79.59,9.68,3.63
5901,3391,3468,42431650,596775963,9.31,6.02,144.01,34.62,22.39
5902,3392,3410,42441910,42441913,21.37,6.11,82.03,8.59,2.46
5903,3392,3464,42441910,595314103,11.54,5.88,135.08,26.18,13.34
